der Körper|le corps
der Kopf|la tête
der Hals|le cou
der Arm|le bras
die Hand|la main
der Finger|le doigt
der Bauch|le ventre
das Bein|la jambe
das Knie|le genou
die Knie[] (mz.)|les genoux
der Fuss|le pied
Zeichne[]Zeichnet|Dessine[]Dessinez
Übergib das Papier deinem Kameraden.|Passe le papier à ton camerade.
das Gesicht|le visage
das Ohr|l'oreille
die Haare|les cheveux
die Stirne|le front
die Wange|la joue
die Nase|le nez
der Mund|la bouche
die Augen|les yeux
das Auge|l'oeil
Zeigt einen Gegenstand.| Montrez un objet.
Wie ist es?|C'est comment?
Es ist weich.|C'est mou.
gross|grand[]grande
klein|petit[]petite
rund|rond[]ronde
quadratisch|carré[]carrée
kurz|court[]courte
lang|long[]longue
hart|dur[]dure
kalt |froid[]froide
warm|chaud[]chaude
ein kaltes Frappé|un frappé froid
eine kalte Limonade|une limonade froide
ein Hot Dog|un chien chaud
der Hund |le chien
eine warme Suppe|une soupe chaude
der Saft|le jus
der Pfannkuchen|la crêpe
der Tee|le thé
das Eis[]die Glace|la glace
die Turnstunde|la leçon de gimnastique
Es ist gut für die Gesundheit.|C'est bon pour la santé.
Beuge die Knie!|Plie les genoux!
Springt auf den linken Fuss!|Sautez sur le pied gauche!
Hebe das linke Bein!|Lève la jambe gauche.
Senkt die Arme.|Baissez les bras.
Drehe den Kopf nach rechts und dann nach links.|Tourne la tête à droit et puis à gauche.
Bewegt den rechten Fuss.|Bougez le pied droit.
Legt die rechte Hand auf den Kopf!|Mettez la main sur la tête!
Steh auf!|Lève-toi!
Setzte dich|Assids-toi!
Setzt euch!|Asseyez-vous!
Fahre fort!|Continue!
Fahrt fort!|Continuez!
bitte[] (Du-Form) |s'il te plaît
bitte[] (Höflichkeitsform) |s'il vous plaît
Nimm!|Prends!
Nehmt eine Dusche!|Prenez une douche!
